wave (um), F062, F087, F106, F129, F146, F158, F184, F213
1.38,0,0,0,2.8623,2.8623,1.4311,0,0
1.381,0,0,0,2.8635,2.8635,1.5024,0,0
1.382,0,0,0,2.8646,2.8646,1.5734,0,0
1.383,0,0,0,2.865,2.865,1.6435,0,0
1.384,0,0,0,2.8653,2.8654,1.7129,0,0
1.385,0,0,0,2.8664,2.8665,1.7816,0,0
1.386,0,0,0,2.8675,2.8676,1.8491,0,0
1.387,0,0,0,2.868,2.8682,1.9148,0,0
1.388,0,0,0,2.8682,2.8684,1.9785,0,0
1.389,0,0,0,2.8685,2.8687,2.0404,0,0
1.39,0,0,0,2.8688,2.869,2.1002,0,0
1.391,0,0,0,2.869,2.8694,2.1578,0,0
1.392,0,0,0,2.8693,2.8696,2.213,0,0
1.393,0,0,0,2.8694,2.8699,2.2658,0,0
1.394,0,0,0,2.8696,2.8702,2.316,0,0
1.395,0,0,0,2.8697,2.8705,2.3636,0,0
1.396,0,0,0,2.8698,2.8707,2.4085,0,0
1.397,0,0,0,2.8698,2.8709,2.4508,0,0
1.398,0,0,0,2.8697,2.8711,2.4904,0,0
1.399,0,0,0,2.8696,2.8713,2.5274,0,0
1.4,0,0,0,2.8693,2.8715,2.5617,0,0
1.401,0,0,0,2.8688,2.8715,2.5935,0,0
1.402,0,0,0,2.8683,2.8716,2.6228,0,0
1.403,0,0,0,2.8678,2.8717,2.6498,0,0
1.404,0,0,0,2.8668,2.8716,2.6743,0,0
1.405,0,0,0,2.8651,2.8708,2.696,0,0
1.406,0,0,0,2.8631,2.87,2.7157,0,0
1.407,0,0,0,2.8616,2.8698,2.734,0,0
1.408,0,0,0,2.86,2.8699,2.7507,0,0
1.409,0,0,0,2.8581,2.8699,2.7656,0,0
1.41,0,0,0,2.8558,2.8697,2.7789,0,0
1.411,0,0,0,2.853,2.8696,2.7907,0,0
1.412,0,0,0,2.85,2.8695,2.8012,0,0
1.413,0,0,0,2.8464,2.8694,2.8104,0,0
1.414,0,0,0,2.8423,2.8692,2.8185,0,0
1.415,0,0,0,2.8374,2.8689,2.8255,0,0
1.416,0,0,0,2.8322,2.8689,2.8318,0,0
1.417,0,0,0,2.8268,2.8695,2.8379,0,0
1.418,0,0,0,2.8205,2.87,2.8432,0,0
1.419,0,0,0,2.8127,2.8698,2.8472,0,0
1.42,0,0,0,2.8039,2.8696,2.8505,0,0
1.421,0,0,0,2.7945,2.8699,2.8539,0,0
1.422,0,0,0,2.7843,2.8706,2.8572,0,0
1.423,0,0,0,2.7727,2.8711,2.86,0,0
1.424,0,0,0,2.7596,2.8716,2.8623,0,0
1.425,0,0,0,2.745,2.872,2.8644,0,0
1.426,0,0,0,2.729,2.8726,2.8662,0,0
1.427,0,0,0,2.7113,2.8732,2.868,0,0
1.428,0,0,0,2.6916,2.8735,2.8693,0,0
1.429,0,0,0,2.6694,2.8733,2.8698,0,0
1.43,0,0,0,2.6453,2.873,2.8702,0,0
1.431,0,0,0,2.6196,2.8733,2.871,0,0
1.432,0,0,0,2.592,2.874,2.8721,0,0
1.433,0,0,0,2.5623,2.8746,2.8731,0,0
1.434,0,0,0,2.5299,2.8749,2.8737,0,0
1.435,0,0,0,2.4949,2.8748,2.8739,0,0
1.436,0,0,0,2.4572,2.8744,2.8737,0,0
1.437,0,0,0,2.4171,2.874,2.8734,0,0
1.438,0,0,0,2.3749,2.8739,2.8734,0,0
1.439,0,0,0,2.3308,2.8744,2.874,0,0
1.44,0,0,0,2.2844,2.8749,2.8746,0,0
1.441,0,0,0,2.2351,2.8748,2.8746,0,0
1.442,0,0,0,2.1834,2.8744,2.8742,0,0
1.443,0,0,0,2.1296,2.8742,2.874,0,0
1.444,0,0,0,2.0737,2.874,2.8739,0,0
1.445,0,0,0,2.0158,2.8736,2.8735,0,0
1.446,0,0,0,1.9563,2.8735,2.8735,0,0
1.447,0,0,0,1.8956,2.8741,2.874,0,0
1.448,0,0,0,1.8333,2.8746,2.8746,0,0
1.449,0,0,0,1.7694,2.8746,2.8746,0,0
1.45,0,0,0,1.7041,2.8743,2.8742,0,0
1.451,0,0,0,1.638,2.874,2.874,0,0
1.452,0,0,0,1.5714,2.8741,2.8741,0,0
1.453,0,0,0,1.5047,2.8747,2.8747,0,0
1.454,0,0,0,1.4377,2.8754,2.8754,0,0
1.455,0,0,0,1.3704,2.8755,2.8755,0,0
1.456,0,0,0,1.3031,2.8752,2.8752,0,0
1.457,0,0,0,1.2364,2.875,2.875,0,0
1.458,0,0,0,1.1705,2.8751,2.8751,0,0
1.459,0,0,0,1.1057,2.8758,2.8757,0,0
1.46,0,0,0,1.0419,2.8764,2.8764,0,0
1.461,0,0,0,0.9793,2.8766,2.8766,0,0
1.462,0,0,0,0.9181,2.8763,2.8763,0,0
1.463,0,0,0,0.8585,2.8761,2.8761,0,0
1.464,0,0,0,0.8009,2.8762,2.8762,0,0
1.465,0,0,0,0.7453,2.877,2.877,0,0
1.466,0,0,0,0.6918,2.8777,2.8777,0,0
1.467,0,0,0,0.6404,2.8778,2.8778,0,0
1.468,0,0,0,0.5911,2.8776,2.8776,0,0
1.469,0,0,0,0.5442,2.8776,2.8776,0,0
1.47,0,0,0,0.4996,2.8776,2.8776,0,0
1.471,0,0,0,0.4574,2.8774,2.8774,0,0
1.472,0,0,0,0.4177,2.8776,2.8776,0,0
1.473,0,0,0,0.3804,2.8783,2.8783,0,0
1.474,0,0,0,0.3455,2.8791,2.8791,0,0
1.475,0,0,0,0.3129,2.8792,2.8792,0,0
1.476,0,0,0,0.2824,2.8791,2.8791,0,0
1.477,0,0,0,0.2543,2.8791,2.8791,0,0
1.478,0,0,0,0.2283,2.8791,2.8791,0,0
1.479,0,0,0,0.2043,2.879,2.879,0,0
1.48,0,0,0,0.1823,2.8792,2.8792,0,0
1.481,0,0,0,0.1623,2.88,2.88,0,0
1.482,0,0,0,0.144,2.8807,2.8807,0,0
1.483,0,0,0,0.1274,2.8809,2.8809,0,0
1.484,0,0,0,0.1123,2.8808,2.8808,0,0
1.485,0,0,0,0.0988,2.8808,2.8808,0,0
1.486,0,0,0,0.0866,2.8809,2.8809,0,0
1.487,0,0,0,0.0757,2.8811,2.8811,0,0
1.488,0,0,0,0.0659,2.8811,2.8811,0,0
1.489,0,0,0,0.0573,2.881,2.881,0,0
1.49,0,0,0,0.0496,2.8812,2.8812,0,0
1.491,0,0,0,0.0428,2.882,2.882,0,0
1.492,0,0,0,0.0369,2.8829,2.8829,0,0
1.493,0,0,0,0.0316,2.8831,2.8831,0,0
1.494,0,0,0,0.0271,2.883,2.883,0,0
1.495,0,0,0,0.0231,2.8831,2.8831,0,0
1.496,0,0,0,0.0196,2.8832,2.8832,0,0
1.497,0,0,0,0.0166,2.8834,2.8834,0,0
1.498,0,0,0,0.014,2.8835,2.8835,0,0
1.499,0,0,0,0.0118,2.8836,2.8836,0,0
1.5,0,0,0,0.0099,2.8837,2.8837,0,0
1.501,0,0,0,0.0083,2.8838,2.8838,0,0
1.502,0,0,0,0.0069,2.8839,2.8839,0,0
1.503,0,0,0,0.0058,2.884,2.884,0,0
1.504,0,0,0,0.0048,2.8841,2.8841,0,0
1.505,0,0,0,0.0039,2.8841,2.8841,0,0
1.506,0,0,0,0.0032,2.8843,2.8843,0,0
1.507,0,0,0,0.0027,2.8852,2.8852,0,0
1.508,0,0,0,0.0022,2.8861,2.8861,0,0
1.509,0,0,0,0.0018,2.8863,2.8863,0,0
1.51,0,0,0,0.0014,2.8863,2.8863,0,0
1.511,0,0,0,0.0012,2.8865,2.8865,0,0
1.512,0,0,0,0.0009,2.8866,2.8866,0,0
1.513,0,0,0,0.0008,2.8866,2.8866,0,0
